original,uniformat,equivalent
"Tollison, Robert D.",Robert D. Tollison,"['Tollison, Robert D.', 'Robert D. Tollison', 'Tollison, Robert D']"
"Bontems, Philippe",Philippe Bontems,"['Bontems, Philippe']"
Sanjiv Sabherwal,Sanjiv Sabherwal,"['Sanjiv Sabherwal', 'Sabherwal, Sanjiv']"
Magnus Dahlquist,Magnus Dahlquist,"['Magnus Dahlquist', 'Dahlquist, Magnus']"
"Willumsen, Fredrik",Fredrik Willumsen,"['Willumsen, Fredrik', 'Fredik Willumsen']"
"Weber, Martina",Martina Weber,"['Weber, Martina', 'Martin Weber', 'Weber, Martin']"
"Spinelli, Franco",Franco Spinelli,"['Spinelli, Franco']"
"Jaenicke, Edward",Edward Jaenicke,"['Jaenicke, Edward']"
R. E. Hall,R. E. Hall,['R. E. Hall']
"Tanzi, Vito",Vito Tanzi,"['Tanzi, Vito', 'Vito Tanzi']"
"Jeong, Kap-Young",Kap-Young Jeong,"['Jeong, Kap-Young']"
"Santoro, Sergio",Sergio Santoro,"['Santoro, Sergio']"
Edwin S. Mills,Edwin S. Mills,"['Edwin S. Mills', 'Mills, Edwin S']"
"Cumby, Robert",Robert Cumby,"['Cumby, Robert']"
"Chu, James",James Chu,"['Chu, James']"
Seymour Dexter,Seymour Dexter,['Seymour Dexter']
Jie Zheng,Jie Zheng,['Jie Zheng']
"Slottje, Daniel J",Daniel J Slottje,"['Slottje, Daniel J', 'Slottje, Daniel J.']"
"Greenlee, Patrick",Patrick Greenlee,"['Greenlee, Patrick']"
Wojciech Olszewski,Wojciech Olszewski,"['Wojciech Olszewski', 'Olszewski, Wojciech']"
"Frino, Alex",Alex Frino,"['Frino, Alex', 'Alex Frino']"
H. S. Irwin,H. S. Irwin,['H. S. Irwin']
Janet L. Gamble,Janet L. Gamble,['Janet L. Gamble']
"Johnson, Paul",Paul Johnson,"['Johnson, Paul']"
Sonya Kostova Huffman,Sonya Kostova Huffman,['Sonya Kostova Huffman']
John Gibson,John Gibson,"['John Gibson', 'Gibson, John']"
"Shen, Wenyi",Wenyi Shen,"['Shen, Wenyi']"
"Gachter, Simon",Simon Gachter,"['Gachter, Simon', 'Simon Gachter']"
"Fan, Wei",Wei Fan,"['Fan, Wei']"
"van der Heijden, Thijs",Thijs van der Heijden,"['van der Heijden, Thijs']"
"Duesenberry, James S",James S Duesenberry,"['Duesenberry, James S', 'James J. Duesenberry']"
David Mitch,David Mitch,['David Mitch']
Sofia B. Villas Boas,Sofia B. Villas Boas,['Sofia B. Villas Boas']
"Mohabbat, Khan A",Khan A Mohabbat,"['Mohabbat, Khan A']"
"Farinelli, Simone",Simone Farinelli,"['Farinelli, Simone']"
"Beckerman, Wilfred",Wilfred Beckerman,"['Beckerman, Wilfred']"
"Beissinger, Thomas",Thomas Beissinger,"['Beissinger, Thomas']"
Daniel Berkowitz,Daniel Berkowitz,"['Daniel Berkowitz', 'Berkowitz, Daniel']"
"Timmins, Christopher",Christopher Timmins,"['Timmins, Christopher', 'Christopher Timmins']"
William Z. Ripley,William Z. Ripley,['William Z. Ripley']
"Weber, Enzo",Enzo Weber,"['Weber, Enzo']"
"Azrieli, Yaron",Yaron Azrieli,"['Azrieli, Yaron', 'Yaron Azrieli']"
"Puzon, Klarizze",Klarizze Puzon,"['Puzon, Klarizze']"
Nicholas Li,Nicholas Li,['Nicholas Li']
Emile Levasseur,Emile Levasseur,['Emile Levasseur']
"Krashinsky, Harry",Harry Krashinsky,"['Krashinsky, Harry']"
"Kirchberger, Martina",Martina Kirchberger,"['Kirchberger, Martina']"
"Champsaur, Paul",Paul Champsaur,"['Champsaur, Paul', 'Paul Champsaur']"
"Seneca, Martin",Martin Seneca,"['Seneca, Martin']"
"Banasik, John",John Banasik,"['Banasik, John']"
John Sagan,John Sagan,['John Sagan']
"Thosar, Satish",Satish Thosar,"['Thosar, Satish']"
"Vermeulen, Philip",Philip Vermeulen,"['Vermeulen, Philip', 'Philip Vermeulen']"
"Farooq, Moazzam",Moazzam Farooq,"['Farooq, Moazzam']"
Gordon H. Hanson,Gordon H. Hanson,"['Gordon H. Hanson', 'Gordon H Hanson', 'H. Hanson, Gordon', 'Hanson, Gordon H.', 'Hanson, Gordon H']"
"Meier, Martin",Martin Meier,"['Meier, Martin']"
"Surico, Paolo",Paolo Surico,"['Surico, Paolo', 'Paolo Surico']"
Daniel Muhammad,Daniel Muhammad,['Daniel Muhammad']
Estal E. Sparlin,Estal E. Sparlin,['Estal E. Sparlin']
Carlo G. Cardilli,Carlo G. Cardilli,['Carlo G. Cardilli']
"Lichtenberg, Erik",Erik Lichtenberg,"['Lichtenberg, Erik', 'Erik Lichtenberg']"
Xueli Tang,Xueli Tang,"['Xueli Tang', 'Tang, Xueli']"
"Brannman, Lance",Lance Brannman,"['Brannman, Lance', 'Lance Brannman']"
"Wills, John",John Wills,"['Wills, John']"
"Maenhout, Pascal",Pascal Maenhout,"['Maenhout, Pascal', 'Pascal Maenhout']"
"Simonds, Richard R",Richard R Simonds,"['Simonds, Richard R']"
Shantayanan Devarajan,Shantayanan Devarajan,"['Shantayanan Devarajan', 'Devarajan, Shantayanan']"
"Dunbar, Craig",Craig Dunbar,"['Dunbar, Craig']"
"Kloek, Tuen",Tuen Kloek,"['Kloek, Tuen']"
James P. Quirk,James P. Quirk,"['James P. Quirk', 'Quirk, James P']"
"Novos, Ian E",Ian E Novos,"['Novos, Ian E', 'Novos, Ian E.']"
"Rivolta, Giulia",Giulia Rivolta,"['Rivolta, Giulia']"
O. de R. Foenander,O. de R. Foenander,['O. de R. Foenander']
Elise Holst,Elise Holst,['Elise Holst']
"Linden, Leigh L.",Leigh L. Linden,"['Linden, Leigh L.']"
Liam Delaney,Liam Delaney,['Liam Delaney']
Sainan Jin,Sainan Jin,"['Sainan Jin', 'Jin, Sainan']"
Meredith A. Crowley,Meredith A. Crowley,"['Meredith A. Crowley', 'Crowley, Meredith A.']"
"van Geldrop, Jan H.",Jan H. van Geldrop,"['van Geldrop, Jan H.']"
Terence J. Wales,Terence J. Wales,"['Terence J. Wales', 'Wales, Terence J', 'Wales, Terence J.']"
"Osterberg, William P.",William P. Osterberg,"['Osterberg, William P.', 'P. Osterberg, William']"
Rakesh V. Vohra,Rakesh V. Vohra,"['Rakesh V. Vohra', 'Vohra, Rakesh V.']"
