original,uniformat,equivalent
"Kothare, Meeta",Meeta Kothare,"['Kothare, Meeta']"
"Rantala, Ville",Ville Rantala,"['Rantala, Ville']"
"Anderson, Brian D.O.",Brian D.O. Anderson,"['Anderson, Brian D.O.']"
"Borovi?ka, Jaroslav",Jaroslav Borovi?ka,"['Borovi?ka, Jaroslav', 'Jaroslav Borovi?ka']"
Robert Stehrer,Robert Stehrer,['Robert Stehrer']
"Datta, Samar K",Samar K Datta,"['Datta, Samar K']"
Georgios Skoulakis,Georgios Skoulakis,"['Georgios Skoulakis', 'Skoulakis, Georgios']"
"Rajaraman, Indira",Indira Rajaraman,"['Rajaraman, Indira']"
"Tsai, Pei-Ling",Pei-Ling Tsai,"['Tsai, Pei-Ling']"
R. F. Hoxie,R. F. Hoxie,['R. F. Hoxie']
Karim M. Abadir,Karim M. Abadir,"['Karim M. Abadir', 'Abadir, Karim M.']"
"Huntsman, Blaine",Blaine Huntsman,"['Huntsman, Blaine']"
Severin Borenstein,Severin Borenstein,"['Severin Borenstein', 'Borenstein, Severin']"
"Holland, A Steven",A Steven Holland,"['Holland, A Steven']"
"Choi, J. Y.",J. Y. Choi,"['Choi, J. Y.']"
Roy Kouwenberg,Roy Kouwenberg,"['Roy Kouwenberg', 'Kouwenberg, Roy']"
"Medio, Alfredo",Alfredo Medio,"['Medio, Alfredo']"
"Nakamura, Kenjiro",Kenjiro Nakamura,"['Nakamura, Kenjiro']"
Kevin Murphy,Kevin Murphy,['Kevin Murphy']
Thomas Kinnaman,Thomas Kinnaman,['Thomas Kinnaman']
"McLennan, Andrew",Andrew McLennan,"['McLennan, Andrew', 'Andrew McLennan']"
"Salou, Gerard",Gerard Salou,"['Salou, Gerard']"
"Metghalchi, Massoud",Massoud Metghalchi,"['Metghalchi, Massoud']"
"Wood, Robert O",Robert O Wood,"['Wood, Robert O', 'Wood, Robert A', 'Wood, Robert O.', 'Wood, Robert G']"
"Fibich, Gadi",Gadi Fibich,"['Fibich, Gadi']"
Charles H. Schmidt,Charles H. Schmidt,['Charles H. Schmidt']
"Thanapornpun, Rungsan",Rungsan Thanapornpun,"['Thanapornpun, Rungsan']"
"Goreux, L. M.",L. M. Goreux,"['Goreux, L. M.']"
"Gyoshev, Stanley",Stanley Gyoshev,"['Gyoshev, Stanley']"
"Shapiro, Arnold F.",Arnold F. Shapiro,"['Shapiro, Arnold F.']"
"Bradburd, Ralph",Ralph Bradburd,"['Bradburd, Ralph']"
"Pappadá, Francesco",Francesco Pappadá,"['Pappadá, Francesco']"
Hongfei Sun,Hongfei Sun,"['Hongfei Sun', 'Sun, Hongfei']"
Oliver B. Linton,Oliver B. Linton,"['Oliver B. Linton', 'Linton, Oliver B.']"
Hanan G. Jacoby,Hanan G. Jacoby,"['Hanan G. Jacoby', 'Jacoby, Hanan G.', 'Jacoby, Hanan G']"
"Lommatzsch, Kirsten",Kirsten Lommatzsch,"['Lommatzsch, Kirsten']"
"Ranney, Susan I.",Susan I. Ranney,"['Ranney, Susan I.', 'Ranney, Susan I']"
A. H. Wurtz,A. H. Wurtz,['A. H. Wurtz']
"Kim, Jung-Wook",Jung-Wook Kim,"['Kim, Jung-Wook', 'Jung-Wook Kim']"
"Rafels, Carles",Carles Rafels,"['Rafels, Carles']"
Kent Womack,Kent Womack,['Kent Womack']
Perry P. Chang,Perry P. Chang,['Perry P. Chang']
"da Costa Werlang, Sergio Ribeiro",Sergio Ribeiro da Costa Werlang,"['da Costa Werlang, Sergio Ribeiro', 'Werlang, Sergio Ribeiro da Costa']"
"De Donder, Philippe",Philippe De Donder,"['De Donder, Philippe', 'Philippe De Donder']"
Michael Johannes,Michael Johannes,"['Michael Johannes', 'Johannes, Michael']"
"Withagen, Cees A. A. M.",Cees A. A. M. Withagen,"['Withagen, Cees A. A. M.']"
"Shumway, Tyler",Tyler Shumway,"['Shumway, Tyler', 'Tyler Shumway']"
Daniel Bradley,Daniel Bradley,"['Daniel Bradley', 'Bradley, Daniel']"
"Seo, Myunghwan",Myunghwan Seo,"['Seo, Myunghwan']"
"Burton, M P",M P Burton,"['Burton, M P']"
"Zaffaroni, Paolo",Paolo Zaffaroni,"['Zaffaroni, Paolo']"
"Daniel, Naveen D.",Naveen D. Daniel,"['Daniel, Naveen D.', 'Naveen D. Daniel']"
David Friedman,David Friedman,"['David Friedman', 'Friedman, David']"
Elizabeth Waterman Gilboy,Elizabeth Waterman Gilboy,['Elizabeth Waterman Gilboy']
"da Silva, Pietro",Pietro da Silva,"['da Silva, Pietro']"
"Fuess, Scott M, Jr",Scott M Fuess,"['Fuess, Scott M, Jr']"
"Flowers, Marilyn R.",Marilyn R. Flowers,"['Flowers, Marilyn R.']"
"Moene, Karl O",Karl O Moene,"['Moene, Karl O', 'Moene, Karl O.']"
Harald Uhlig,Harald Uhlig,"['Harald Uhlig', 'Uhlig, Harald']"
"Gandolfo, Giancarlo",Giancarlo Gandolfo,"['Gandolfo, Giancarlo']"
Amartya Sen,Amartya Sen,"['Amartya Sen', 'Sen, Amartya']"
Qianqiu Liu,Qianqiu Liu,"['Qianqiu Liu', 'Liu, Qianqiu']"
"Pitchford, Rohan",Rohan Pitchford,"['Pitchford, Rohan', 'Rohan Pitchford']"
David T. Geithman,David T. Geithman,['David T. Geithman']
Augustin Landier,Augustin Landier,"['Augustin Landier', 'Landier, Augustin']"
"Vega, Clara",Clara Vega,"['Vega, Clara', 'Clara Vega']"
Larry Fauver,Larry Fauver,"['Larry Fauver', 'Fauver, Larry']"
"Meyer, Andrew P.",Andrew P. Meyer,"['Meyer, Andrew P.']"
"Rath, Kali P.",Kali P. Rath,"['Rath, Kali P.']"
Adair Morse,Adair Morse,"['Adair Morse', 'Morse, Adair']"
"Bassanini, Andrea",Andrea Bassanini,"['Bassanini, Andrea', 'Andrea Bassanini']"
James M. Robins,James M. Robins,"['James M. Robins', 'Robins, James M.']"
"Puopolo, Giovanni Walter",Giovanni Walter Puopolo,"['Puopolo, Giovanni Walter']"
J. Tinbergen,J. Tinbergen,['J. Tinbergen']
Robert H. Topel,Robert H. Topel,"['Robert H. Topel', 'Topel, Robert H']"
Feng Zhu,Feng Zhu,['Feng Zhu']
"Huang, Alex YiHou",Alex YiHou Huang,"['Huang, Alex YiHou']"
"Beeson, Patricia E",Patricia E Beeson,"['Beeson, Patricia E']"
J.-F. Richard,J.-F. Richard,"['J.-F. Richard', 'Richard, J. F.', 'Richard, J. -F.']"
"Gould, David M",David M Gould,"['Gould, David M', 'Gould, David M.']"
Darin Lee,Darin Lee,['Darin Lee']
K. M. Williamson,K. M. Williamson,['K. M. Williamson']
"Lankford, R. Hamilton",R. Hamilton Lankford,"['Lankford, R. Hamilton', 'Lankford, R Hamilton']"
"Sonstegaard, Miles H",Miles H Sonstegaard,"['Sonstegaard, Miles H']"
"Kim, Kiwhan",Kiwhan Kim,"['Kim, Kiwhan']"
"Sobbrio, Francesco",Francesco Sobbrio,"['Sobbrio, Francesco']"
"Taylor, Caron",Caron Taylor,"['Taylor, Caron']"
"Rader, J Trout",J Trout Rader,"['Rader, J Trout', 'Rader, J Trout, III']"
"Khanthavit, Anya",Anya Khanthavit,"['Khanthavit, Anya']"
"Meisami, Alex",Alex Meisami,"['Meisami, Alex']"
Manuel F. Bagues,Manuel F. Bagues,['Manuel F. Bagues']
"Ignacio Silva, José",José Ignacio Silva,"['Ignacio Silva, José']"
Kenneth L. Judd,Kenneth L. Judd,"['Kenneth L. Judd', 'Judd, Kenneth L', 'Judd, Kenneth L.']"
"Mandell, Lewis",Lewis Mandell,"['Mandell, Lewis']"
Jonathan T. Kolstad,Jonathan T. Kolstad,"['Jonathan T. Kolstad', 'Kolstad, Jonathan T.']"
Melvyn G. Coles,Melvyn G. Coles,"['Melvyn G. Coles', 'Coles, Melvyn G', 'Coles, Melvyn G.']"
"Sattinger, Michael",Michael Sattinger,"['Sattinger, Michael', 'Michael Sattinger']"
"Gimet, Céline",Céline Gimet,"['Gimet, Céline']"
Andrew MacFarland Davis,Andrew MacFarland Davis,"['Andrew MacFarland Davis', 'Andrew McFarland Davis']"
"Ko, Kwangsoo",Kwangsoo Ko,"['Ko, Kwangsoo']"
"Danthine, Samuel",Samuel Danthine,"['Danthine, Samuel']"
"Thum, Marcel",Marcel Thum,"['Thum, Marcel', 'Marcel Thum']"
"Vujosevic, Zorica",Zorica Vujosevic,"['Vujosevic, Zorica']"
"Blackburn, Keith",Keith Blackburn,"['Blackburn, Keith']"
"Loughran, Tim",Tim Loughran,"['Loughran, Tim', 'Tim Loughran']"
Juan Pablo RincÛn-Zapatero,Juan Pablo RincÛn-Zapatero,['Juan Pablo RincÛn-Zapatero']
"Dutta, Sunil",Sunil Dutta,"['Dutta, Sunil']"
"Torero, Maximo",Maximo Torero,"['Torero, Maximo', 'Maximo Torero']"
Pedro Bordalo,Pedro Bordalo,['Pedro Bordalo']
Maria Ogneva,Maria Ogneva,['Maria Ogneva']
Nobuhiro Okuno,Nobuhiro Okuno,['Nobuhiro Okuno']
Brian P. Sack,Brian P. Sack,['Brian P. Sack']
"Romer, Paul",Paul Romer,"['Romer, Paul', 'Paul Romer']"
"Badrinath, S G",S G Badrinath,"['Badrinath, S G']"
"Davies, Stephen W.",Stephen W. Davies,"['Davies, Stephen W.', 'Davies, Stephen W']"
"Clark, Andrew E",Andrew E Clark,"['Clark, Andrew E', 'Andrew E. Clark', 'Clark, Andrew E.']"
"Yip, Chong K",Chong K Yip,"['Yip, Chong K', 'Yip, Chong K.']"
"Roughgarden, Tim",Tim Roughgarden,"['Roughgarden, Tim']"
"Ackley, Gardner",Gardner Ackley,"['Ackley, Gardner', 'Gardner Ackley']"
"Gertner, Robert",Robert Gertner,"['Gertner, Robert', 'Robert Gertner']"
Erzo G. J. Luttmer,Erzo G. J. Luttmer,"['Erzo G. J. Luttmer', 'Luttmer, Erzo G.J.']"
"Nuscheler, Robert",Robert Nuscheler,"['Nuscheler, Robert']"
Sharon Garyn-Tal,Sharon Garyn-Tal,['Sharon Garyn-Tal']
David Meiselman,David Meiselman,['David Meiselman']
"Kwon, Jene K.",Jene K. Kwon,"['Kwon, Jene K.', 'Kwon, Jene K']"
César Sosa-Padilla,César Sosa-Padilla,"['César Sosa-Padilla', 'Sosa Padilla, César']"
"Becker, Sascha O.",Sascha O. Becker,"['Becker, Sascha O.', 'Sascha O Becker', 'Sascha O. Becker', 'Becker, Sascha S.']"
"Goli?ski, Adam",Adam Goli?ski,"['Goli?ski, Adam']"
John Walsh,John Walsh,['John Walsh']
"Frisch, Ragnar",Ragnar Frisch,"['Frisch, Ragnar', 'Ragnar Frisch']"
Lewis A. Froman,Lewis A. Froman,['Lewis A. Froman']
"Gossner, Olivier",Olivier Gossner,"['Gossner, Olivier', 'Olivier Gossner']"
"Haramillo, Fidel",Fidel Haramillo,"['Haramillo, Fidel']"
"Valmasoni, Lorenzo",Lorenzo Valmasoni,"['Valmasoni, Lorenzo']"
"Mehl, Arnaud",Arnaud Mehl,"['Mehl, Arnaud', 'Arnaud Mehl']"
"Basevi, G.",G. Basevi,"['Basevi, G.']"
Funk Peter,Funk Peter,['Funk Peter']
"Maggioni, Daniela",Daniela Maggioni,"['Maggioni, Daniela']"
Janice H. Hammond,Janice H. Hammond,['Janice H. Hammond']
"Campbell, John Y",John Y Campbell,"['Campbell, John Y', 'Campbell, John M', 'Campbell, John M, Jr', 'John Y. Campbell', 'Campbell, John Y.']"
"Li, George Z.",George Z. Li,"['Li, George Z.']"
"Barnett, William A.",William A. Barnett,"['Barnett, William A.', 'Barnett, William A', 'A. Barnett, William', 'William A. Barnett']"
"Ahmad, Naseem",Naseem Ahmad,"['Ahmad, Naseem']"
"Maccini, Louis J",Louis J Maccini,"['Maccini, Louis J', 'Louis J. Maccini', 'Maccini, Louis J.']"
Lars-Hendrik Röller,Lars-Hendrik Röller,['Lars-Hendrik Röller']
"Engle, Robert",Robert Engle,"['Engle, Robert', 'Robert Engle']"
"Fernandez de Guevara, Juan",Juan Fernandez de Guevara,"['Fernandez de Guevara, Juan', 'de Guevara, Juan Fernandez']"
"Weber, AndrePaul",AndrePaul Weber,"['Weber, AndrePaul']"
"Nishiyama, Akira",Akira Nishiyama,"['Nishiyama, Akira']"
"Coleman, Wilbur John, II",Wilbur John Coleman,"['Coleman, Wilbur John, II', 'Wilbur John Coleman']"
"Gropper, Daniel M.",Daniel M. Gropper,"['Gropper, Daniel M.', 'Gropper, Daniel M']"
David H. Autor,David H. Autor,['David H. Autor']
Erkki Koskela,Erkki Koskela,"['Erkki Koskela', 'Koskela, Erkki']"
"Dafny, Leemore",Leemore Dafny,"['Dafny, Leemore', 'Leemore Dafny']"
Regina Betz,Regina Betz,['Regina Betz']
"Kidner, R",R Kidner,"['Kidner, R']"
J. C. Robertson,J. C. Robertson,['J. C. Robertson']
"Marchionatti, Roberto",Roberto Marchionatti,"['Marchionatti, Roberto']"
"Deza, Monica",Monica Deza,"['Deza, Monica']"
"Dimico, Arcangelo",Arcangelo Dimico,"['Dimico, Arcangelo']"
"Kondor, Imre",Imre Kondor,"['Kondor, Imre']"
"Thore, Sten",Sten Thore,"['Thore, Sten', 'Sten Thore']"
Jun Iritani,Jun Iritani,['Jun Iritani']
"Lengwiler, Yvan",Yvan Lengwiler,"['Lengwiler, Yvan', 'Yvan Lengwiler']"
Avi Dor,Avi Dor,"['Avi Dor', 'Dor, Avi']"
"Vaggi, Gianni",Gianni Vaggi,"['Vaggi, Gianni']"
"Martínez Pería, María Soledad",María Soledad Martínez Pería,"['Martínez Pería, María Soledad', 'Pería, Maria Soledad Martínez', 'Pería, María Soledad Martínez']"
Henry H. Villard,Henry H. Villard,['Henry H. Villard']
"Neaime, Simon",Simon Neaime,"['Neaime, Simon']"
"Vismara, Silvio",Silvio Vismara,"['Vismara, Silvio']"
"Primus, Keyra",Keyra Primus,"['Primus, Keyra']"
"Koska, Onur A.",Onur A. Koska,"['Koska, Onur A.']"
"Jiang, Jing",Jing Jiang,"['Jiang, Jing', 'Ping Jiang']"
"Vroman, Wayne",Wayne Vroman,"['Vroman, Wayne', 'Wayne Vroman']"
Jennifer Huang,Jennifer Huang,"['Jennifer Huang', 'Huang, Jennifer']"
"Chan, Pak To",Pak To Chan,"['Chan, Pak To']"
Oliver Faltin-Traeger,Oliver Faltin-Traeger,['Oliver Faltin-Traeger']
"Cassity, Henry",Henry Cassity,"['Cassity, Henry']"
Anat Bracha,Anat Bracha,"['Anat Bracha', 'Bracha, Anat']"
Peter Hammond,Peter Hammond,"['Peter Hammond', 'Hammond, Peter']"
Ismail Baydur,Ismail Baydur,['Ismail Baydur']
"Timmer, Marcel P.",Marcel P. Timmer,"['Timmer, Marcel P.', 'Marcel P. Timmer']"
"Harrod, Roy [Sir]",Roy [Sir] Harrod,"['Harrod, Roy [Sir]']"
Tito Cordella,Tito Cordella,"['Tito Cordella', 'Cordella, Tito']"
Henry Horace Hibbs,Henry Horace Hibbs,['Henry Horace Hibbs']
Henrik Jensen,Henrik Jensen,"['Henrik Jensen', 'Jensen, Henrik']"
"Hughes, John S.",John S. Hughes,"['Hughes, John S.', 'Hughes, John S']"
"Sørensen, Rune J.",Rune J. Sørensen,"['Sørensen, Rune J.']"
"Y?ld?z, Ne?e",Ne?e Y?ld?z,"['Y?ld?z, Ne?e']"
Grayham E. Mizon,Grayham E. Mizon,"['Grayham E. Mizon', 'Mizon, Grayham E.', 'Mizon, Grayham E']"
"Mohring, Herbert",Herbert Mohring,"['Mohring, Herbert', 'Herbert Mohring']"
Thomas Gale Moore,Thomas Gale Moore,"['Thomas Gale Moore', 'Moore, Thomas Gale']"
"Rosen, H.S.Harvey S.",H.S.Harvey S. Rosen,"['Rosen, H.S.Harvey S.']"
"Tukiainen, Janne",Janne Tukiainen,"['Tukiainen, Janne']"
"Parker, Elliott",Elliott Parker,"['Parker, Elliott']"
Marten Keil,Marten Keil,['Marten Keil']
"Allingham, Michael G",Michael G Allingham,"['Allingham, Michael G', 'Allingham, Michael G.']"
"Dumitrescu, Elena-Ivona",Elena-Ivona Dumitrescu,"['Dumitrescu, Elena-Ivona']"
"Dee, Thomas S.",Thomas S. Dee,"['Dee, Thomas S.', 'Thomas S. Dee', 'ThomasS. Dee']"
"Shen, Jianghua",Jianghua Shen,"['Shen, Jianghua']"
"Hinnosaar, Marit",Marit Hinnosaar,"['Hinnosaar, Marit']"
"Sommer, Kamila",Kamila Sommer,"['Sommer, Kamila', 'Kamila Sommer']"
"Kandel, Eugene",Eugene Kandel,"['Kandel, Eugene', 'Eugene Kandel']"
"Ioffe, Ioulia D.",Ioulia D. Ioffe,"['Ioffe, Ioulia D.']"
"Okada, Daijiro",Daijiro Okada,"['Okada, Daijiro']"
"Kenyon, Peter",Peter Kenyon,"['Kenyon, Peter']"
Harry G. Brown,Harry G. Brown,['Harry G. Brown']
Hoesung Lee,Hoesung Lee,['Hoesung Lee']
"Hernandez D., Alejandro",Alejandro Hernandez D.,"['Hernandez D., Alejandro', 'Hernandez D, Alejandro']"
Le Breton Michel,Le Breton Michel,['Le Breton Michel']
"Shapley, Lloyd S",Lloyd S Shapley,"['Shapley, Lloyd S', 'Shapley, Lloyd S.']"
"Upton, David E",David E Upton,"['Upton, David E']"
"Casas, Francisco R.",Francisco R. Casas,"['Casas, Francisco R.', 'Casas, Francisco R']"
Stephen Tokarick,Stephen Tokarick,['Stephen Tokarick']
"Moore, B J",B J Moore,"['Moore, B J']"
Magnus Blomström,Magnus Blomström,['Magnus Blomström']
"Yakowitz, S.",S. Yakowitz,"['Yakowitz, S.']"
David Anthoff,David Anthoff,['David Anthoff']
"Stephenson, James A",James A Stephenson,"['Stephenson, James A', 'Stephenson, James B']"
Helen Weeds,Helen Weeds,"['Helen Weeds', 'Weeds, Helen']"
"Ho, Mun S.",Mun S. Ho,"['Ho, Mun S.', 'Mun S. Ho']"
"Cooney, John W",John W Cooney,"['Cooney, John W', 'Cooney, John W.', 'John W. Cooney']"
Benedikt M. Poetscher,Benedikt M. Poetscher,['Benedikt M. Poetscher']
"Ruszczynski, Andrzej",Andrzej Ruszczynski,"['Ruszczynski, Andrzej', 'Andrzej Ruszczynski']"
Nicholas Bull,Nicholas Bull,['Nicholas Bull']
"Dominguez, Kathryn M.",Kathryn M. Dominguez,"['Dominguez, Kathryn M.', 'Dominguez, Kathryn M.E.', 'Dominguez, Kathryn M']"
Yanhao Wei,Yanhao Wei,['Yanhao Wei']
Foley Duncan K.,Foley Duncan K.,['Foley Duncan K.']
Eric M. Zolt,Eric M. Zolt,['Eric M. Zolt']
Simone Schaner,Simone Schaner,['Simone Schaner']
Melvin T. Copeland,Melvin T. Copeland,['Melvin T. Copeland']
"Bewley, Truman",Truman Bewley,"['Bewley, Truman']"
"Ozyildirim, Ataman",Ataman Ozyildirim,"['Ozyildirim, Ataman']"
Heidrun C. Hoppe,Heidrun C. Hoppe,"['Heidrun C. Hoppe', 'Hoppe, Heidrun C.']"
"Cole, William E",William E Cole,"['Cole, William E', 'Cole, William E.']"
"Cain, Glen G",Glen G Cain,"['Cain, Glen G', 'Glen G. Cain']"
"Wei, William W. S.",William W. S. Wei,"['Wei, William W. S.']"
"Nelson, Robert H",Robert H Nelson,"['Nelson, Robert H']"
Frédéric Robert-Nicoud,Frédéric Robert-Nicoud,"['Frédéric Robert-Nicoud', 'Robert-Nicoud, Frederic', 'Robert-Nicoud, Frédéric']"
"Chang, Yongsung",Yongsung Chang,"['Chang, Yongsung', 'Yongsung Chang']"
"Wichern, D W",D W Wichern,"['Wichern, D W']"
Pawel Zabczyk,Pawel Zabczyk,['Pawel Zabczyk']
"Mellon, W. G.",W. G. Mellon,"['Mellon, W. G.']"
"Bucovetsky, Sam",Sam Bucovetsky,"['Bucovetsky, Sam', 'Sam Bucovetsky']"
"Costa, Dora L.",Dora L. Costa,"['Costa, Dora L.', 'Costa, Dora L', 'Dora L. Costa']"
Laura Kalambokidis,Laura Kalambokidis,"['Laura Kalambokidis', 'Kalambokidis, Laura']"
Pedro Uribe,Pedro Uribe,['Pedro Uribe']
R. R. Neild,R. R. Neild,['R. R. Neild']
"Okuyama, Toshiyuki",Toshiyuki Okuyama,"['Okuyama, Toshiyuki']"
"Harms, Phillipp",Phillipp Harms,"['Harms, Phillipp', 'Philipp Harms']"
Vasant Naik,Vasant Naik,['Vasant Naik']
"Klimenko, Mikhail",Mikhail Klimenko,"['Klimenko, Mikhail', 'Mikhail Klimenko']"
Susan Dynarski,Susan Dynarski,['Susan Dynarski']
"Bell, David R.",David R. Bell,"['Bell, David R.']"
"Park, Kyung Suh",Kyung Suh Park,"['Park, Kyung Suh', 'Suh Park, Kyung', 'Park, Kyung-Suh']"
"Lau, Lawrence J",Lawrence J Lau,"['Lau, Lawrence J', 'Lawrence J. Lau', 'Lau, Lawrence J.']"
"Helfand, Gloria E",Gloria E Helfand,"['Helfand, Gloria E']"
"van Wensveen, Dick",Dick van Wensveen,"['van Wensveen, Dick']"
W. J. Corlett,W. J. Corlett,['W. J. Corlett']
"Bernstein, Peter L",Peter L Bernstein,"['Bernstein, Peter L', 'Peter L. Bernstein']"
"Chaloupka, Frank",Frank Chaloupka,"['Chaloupka, Frank']"
Fernanda Brollo,Fernanda Brollo,"['Fernanda Brollo', 'Brollo, Fernanda']"
Burton A. Abrams,Burton A. Abrams,"['Burton A. Abrams', 'Abrams, Burton A']"
"Murchison, Stephen",Stephen Murchison,"['Murchison, Stephen']"
Mats Ekelund,Mats Ekelund,['Mats Ekelund']
"David Dixon, Huw",Huw David Dixon,"['David Dixon, Huw', 'Dixon, Huw David']"
"Lotz, Sebastien",Sebastien Lotz,"['Lotz, Sebastien', 'Lotz, Sébastien']"
David McFarland,David McFarland,['David McFarland']
"Moore, William T",William T Moore,"['Moore, William T', 'William T. Moore', 'Moore, William T.', 'Moore, William J']"
"Steel, Mark",Mark Steel,"['Steel, Mark']"
"Tan, Guofo",Guofo Tan,"['Tan, Guofo']"
"Warachka, Mitchell Craig",Mitchell Craig Warachka,"['Warachka, Mitchell Craig']"
Davide Malacrino,Davide Malacrino,['Davide Malacrino']
"Akan, Mustafa",Mustafa Akan,"['Akan, Mustafa']"
"Lemelin, Andre",Andre Lemelin,"['Lemelin, Andre']"
Juan J. Cruces,Juan J. Cruces,['Juan J. Cruces']
"Martens, Andre",Andre Martens,"['Martens, Andre']"
"Kydland, Finn E.",Finn E. Kydland,"['Kydland, Finn E.', 'Finn E. Kydland', 'Kydland, Finn E']"
Gregory Noronha,Gregory Noronha,['Gregory Noronha']
"Dao, Dan",Dan Dao,"['Dao, Dan']"
David Ratner,David Ratner,['David Ratner']
"Goodman, Allen C",Allen C Goodman,"['Goodman, Allen C']"
"Keech, William R",William R Keech,"['Keech, William R']"
"Monteagudo, Josefina",Josefina Monteagudo,"['Monteagudo, Josefina']"
"Roland, Gérard",Gérard Roland,"['Roland, Gérard', 'Roland, Gerard', 'Gerard Roland', 'Gérard Roland']"
"Ho, T. S.",T. S. Ho,"['Ho, T. S.']"
"Jennings, E James",E James Jennings,"['Jennings, E James']"
"Hawawini, Gabriel A.",Gabriel A. Hawawini,"['Hawawini, Gabriel A.', 'Hawawini, Gabriel A']"
"Hsiao, C.",C. Hsiao,"['Hsiao, C.']"
Paolo Sodini,Paolo Sodini,['Paolo Sodini']
"Vesperoni, Esteban",Esteban Vesperoni,"['Vesperoni, Esteban']"
Chatterji Shurojit,Chatterji Shurojit,['Chatterji Shurojit']
"Douty, Christopher M",Christopher M Douty,"['Douty, Christopher M']"
Karen Macours,Karen Macours,"['Karen Macours', 'Macours, Karen']"
"Steigum, Erling, Jr",Erling Steigum,"['Steigum, Erling, Jr']"
Elizabeth Washbrook,Elizabeth Washbrook,['Elizabeth Washbrook']
"Betts, Julian R.",Julian R. Betts,"['Betts, Julian R.', 'Betts, Julian R', 'Julian R. Betts']"
"Khan, Qaiser",Qaiser Khan,"['Khan, Qaiser']"
David E. Weinstein,David E. Weinstein,"['David E. Weinstein', 'David W. Weinstein', 'Weinstein, David E.', 'Weinstein, David E']"
"Gompers, Paul A",Paul A Gompers,"['Gompers, Paul A', 'Gompers, Paul A.', 'Paul A. Gompers']"
Clifford S. Asness,Clifford S. Asness,['Clifford S. Asness']
"Gupta-Mukherjee, Swasti",Swasti Gupta-Mukherjee,"['Gupta-Mukherjee, Swasti']"
"Oum, Tae Hoon",Tae Hoon Oum,"['Oum, Tae Hoon']"
"Owen, David",David Owen,"['Owen, David']"
"Marr, Christa",Christa Marr,"['Marr, Christa']"
"Lorenczik, Christian",Christian Lorenczik,"['Lorenczik, Christian']"
"Booker, Kevin",Kevin Booker,"['Booker, Kevin', 'Kevin Booker']"
J. B. Clark,J. B. Clark,"['J. B. Clark', 'J. M. Clark']"
"McFadden, Daniel L",Daniel L McFadden,"['McFadden, Daniel L', 'Daniel L. McFadden']"
"Moore, John",John Moore,"['Moore, John', 'John Moore']"
"Gatsios, Konstantine",Konstantine Gatsios,"['Gatsios, Konstantine', 'Konstantine Gatsios']"
"Gazioglou, Shaziye",Shaziye Gazioglou,"['Gazioglou, Shaziye']"
Ben Etheridge,Ben Etheridge,"['Ben Etheridge', 'Etheridge, Ben']"
"Gennari, Pietro",Pietro Gennari,"['Gennari, Pietro']"
"John, Teresa A.",Teresa A. John,"['John, Teresa A.', 'John, Teresa A']"
"Fischer, Dietrich",Dietrich Fischer,"['Fischer, Dietrich', 'Dietrich Fischer']"
Juan Alcácer,Juan Alcácer,['Juan Alcácer']
"de Meza, David",David de Meza,"['de Meza, David', 'De Meza, David', 'David de Meza']"
Xiang Gao,Xiang Gao,['Xiang Gao']
"Celec, Stephen E",Stephen E Celec,"['Celec, Stephen E']"
"Scholes, Myron S",Myron S Scholes,"['Scholes, Myron S', 'Scholes, Myron S.', 'Myron S. Scholes']"
"Gardenfors, Peter",Peter Gardenfors,"['Gardenfors, Peter']"
"Lee, Yul W",Yul W Lee,"['Lee, Yul W', 'Lee, Yul W.']"
"von Thadden, Ernst-Ludwig",Ernst-Ludwig von Thadden,"['von Thadden, Ernst-Ludwig', 'Ernst-Ludwig Von Thadden', 'Ernst-Ludwig von Thadden']"
Richard C. Levin,Richard C. Levin,"['Richard C. Levin', 'Levin, Richard C']"
Krishna B. Kumar,Krishna B. Kumar,"['Krishna B. Kumar', 'Kumar, Krishna B.']"
Ujjayant Chakravorty,Ujjayant Chakravorty,"['Ujjayant Chakravorty', 'Chakravorty, Ujjayant']"
"Chambers, Christopher P.",Christopher P. Chambers,"['Chambers, Christopher P.', 'Christopher P. Chambers']"
"Bohara, Alok K",Alok K Bohara,"['Bohara, Alok K', 'Bohara, Alok K.', 'Alok K. Bohara']"
"McCallion, G.",G. McCallion,"['McCallion, G.']"
Emanuele Giovannetti,Emanuele Giovannetti,['Emanuele Giovannetti']
"Serra, Pablo",Pablo Serra,"['Serra, Pablo', 'Pablo Serra']"
"Gupta, Manak C.",Manak C. Gupta,"['Gupta, Manak C.', 'Gupta, Manak C']"
"Monfort, A",A Monfort,"['Monfort, A', 'Monfort, A.']"
"Vincent, Daniel",Daniel Vincent,"['Vincent, Daniel']"
Ximena Clark,Ximena Clark,"['Ximena Clark', 'Clark, Ximena']"
"Lin, Binghuan",Binghuan Lin,"['Lin, Binghuan']"
"Li, Kai",Kai Li,"['Li, Kai', 'Kai Li']"
William L. Wascher,William L. Wascher,"['William L. Wascher', 'Wascher, William L']"
"Inchauste, Gabriela",Gabriela Inchauste,"['Inchauste, Gabriela']"
"Imam, Hasan",Hasan Imam,"['Imam, Hasan']"
"Wang Chiang, S Judy",S Judy Wang Chiang,"['Wang Chiang, S Judy']"
"Sarin, Saagar",Saagar Sarin,"['Sarin, Saagar']"
Kent Kunze,Kent Kunze,['Kent Kunze']
