original,uniformat,equivalent
"Rousslang, Donald",Donald Rousslang,"['Rousslang, Donald']"
"Rugg, Donald",Donald Rugg,"['Rugg, Donald']"
"Kenkel, Donald S",Donald S Kenkel,"['Kenkel, Donald S', 'Donald S. Kenkel']"
"Shannon, Donald S",Donald S Shannon,"['Shannon, Donald S']"
Donald S. Shepard,Donald S. Shepard,['Donald S. Shepard']
Donald S. Siegel,Donald S. Siegel,['Donald S. Siegel']
Donald S. Thompson,Donald S. Thompson,['Donald S. Thompson']
Donald Scoles,Donald Scoles,['Donald Scoles']
Donald Shelby,Donald Shelby,['Donald Shelby']
Donald Siegel,Donald Siegel,"['Donald Siegel', 'Siegel, Donald']"
"Snyder, Donald",Donald Snyder,"['Snyder, Donald']"
Donald Storrie,Donald Storrie,['Donald Storrie']
"Gantz, Donald T",Donald T Gantz,"['Gantz, Donald T']"
"Sant, Donald T",Donald T Sant,"['Sant, Donald T']"
"Coes, Donald V",Donald V Coes,"['Coes, Donald V', 'Coes, Donald V.']"
"Harper, Donald V",Donald V Harper,"['Harper, Donald V']"
"Bear, Donald V T",Donald V T Bear,"['Bear, Donald V T']"
Donald V. Moser,Donald V. Moser,['Donald V. Moser']
"Bear, Donald V. T.",Donald V. T. Bear,"['Bear, Donald V. T.']"
"Reid, Donald W",Donald W  Reid,"['Reid, Donald W']"
"Green, Donald W",Donald W Green,"['Green, Donald W', 'Green, Donald W.']"
"Andrews, Donald W K",Donald W K Andrews,"['Andrews, Donald W K', 'Andrews, Donald W. K.', 'Donald W. K. Andrews']"
"Katzner, Donald W",Donald W Katzner,"['Katzner, Donald W']"
Donald W. Gilbert,Donald W. Gilbert,['Donald W. Gilbert']
Donald W. O'Connell,Donald W. O'Connell,"[""Donald W. O'Connell""]"
Donald W. O'onnell,Donald W. O'onnell,"[""Donald W. O'onnell""]"
"Andrews, Donald W.K.",Donald W.K. Andrews,"['Andrews, Donald W.K.', 'Andrews, Donald W. K.', 'Donald W. K. Andrews']"
"Watson, Donald",Donald Watson,"['Watson, Donald']"
Donald Weaver,Donald Weaver,['Donald Weaver']
"Wellington, Donald",Donald Wellington,"['Wellington, Donald']"
"Winch, Donald",Donald Winch,"['Winch, Donald', 'Donald Winch']"
"Wittman, Donald",Donald Wittman,"['Wittman, Donald', 'Donald Wittman']"
Donald Wood Gilbert,Donald Wood Gilbert,['Donald Wood Gilbert']
"Wyhowski, Donald",Donald Wyhowski,"['Wyhowski, Donald']"
"Surgailis, Donatas",Donatas Surgailis,"['Surgailis, Donatas']"
"Masciandaro, Donato",Donato Masciandaro,"['Masciandaro, Donato']"
Dong Beom Choi,Dong Beom Choi,['Dong Beom Choi']
"Chen, Dong",Dong Chen,"['Chen, Dong']"
"Hong, Dong",Dong Hong,"['Hong, Dong']"
"Oh, Dong Hwan",Dong Hwan Oh,"['Oh, Dong Hwan']"
Dong Lee,Dong Lee,['Dong Lee']
"Li, Dong",Dong Li,"['Li, Dong']"
"Liu, Dong",Dong Liu,"['Liu, Dong']"
"Lou, Dong",Dong Lou,"['Lou, Dong', 'Dong Lou']"
"Shin, Dong Wan",Dong Wan Shin,"['Shin, Dong Wan', 'Wan Shin, Dong']"
"Lee, Dong Wook",Dong Wook Lee,"['Lee, Dong Wook']"
Dong-Hyun Ahn,Dong-Hyun Ahn,"['Dong-Hyun Ahn', 'Ahn, Dong-Hyun']"
"Kim, Dong-Soon",Dong-Soon Kim,"['Kim, Dong-Soon']"
"Noh, Dong-Woon",Dong-Woon Noh,"['Noh, Dong-Woon']"
"Kim, Dongcheol",Dongcheol Kim,"['Kim, Dongcheol', 'Kim, Dongcheol']"
"Sun, Dongchu",Dongchu Sun,"['Sun, Dongchu']"
"Cho, Dongchul",Dongchul Cho,"['Cho, Dongchul']"
"Kim, Donggyu",Donggyu Kim,"['Kim, Donggyu']"
Donggyu Sul,Donggyu Sul,"['Donggyu Sul', 'Sul, Donggyu']"
Donggyun Shin,Donggyun Shin,"['Donggyun Shin', 'Shin, Donggyun']"
"Zhang, Donghang",Donghang Zhang,"['Zhang, Donghang']"
Dongho Song,Dongho Song,"['Dongho Song', 'Song, Dongho']"
Donghoon Lee,Donghoon Lee,"['Donghoon Lee', 'Lee, Donghoon']"
"Chen, Donghua",Donghua Chen,"['Chen, Donghua']"
Donghui Li,Donghui Li,"['Donghui Li', 'Li, Donghui']"
"Wu, Donghui",Donghui Wu,"['Wu, Donghui']"
"Lee, Dongin",Dongin Lee,"['Lee, Dongin']"
"Chang, Dongkoo",Dongkoo Chang,"['Chang, Dongkoo']"
"Li, Dongmei",Dongmei Li,"['Li, Dongmei', 'Dongmei Li']"
"Kong, Dongmin",Dongmin Kong,"['Kong, Dongmin']"
"Zhu, Dongming",Dongming Zhu,"['Zhu, Dongming']"
"Zhou, Dongsheng",Dongsheng Zhou,"['Zhou, Dongsheng']"
Dongwon Lee,Dongwon Lee,['Dongwon Lee']
"Kim, Dongwook",Dongwook Kim,"['Kim, Dongwook']"
"Darai, Donja",Donja Darai,"['Darai, Donja']"
"Pescatrice, Donn R.",Donn R. Pescatrice,"['Pescatrice, Donn R.']"
"Gilleskie, Donna B.",Donna B. Gilleskie,"['Gilleskie, Donna B.', 'Donna B. Gilleskie']"
"Sulak, Donna B.",Donna B. Sulak,"['Sulak, Donna B.']"
"Brennan, Donna",Donna Brennan,"['Brennan, Donna']"
Donna Gilleskie,Donna Gilleskie,"['Donna Gilleskie', 'Gilleskie, Donna']"
"Fletcher, Donna J",Donna J Fletcher,"['Fletcher, Donna J']"
Donna K. Ginther,Donna K. Ginther,['Donna K. Ginther']
"Costello, Donna M",Donna M Costello,"['Costello, Donna M']"
"MacIsaac, Donna",Donna MacIsaac,"['MacIsaac, Donna']"
"Vines, Donna P",Donna P Vines,"['Vines, Donna P']"
Donna S. Rothstein,Donna S. Rothstein,['Donna S. Rothstein']
"Daniel, Donnie L",Donnie L Daniel,"['Daniel, Donnie L']"
Donor M. Lion,Donor M. Lion,['Donor M. Lion']
"Bang, Doo Won",Doo Won Bang,"['Bang, Doo Won']"
"Choi, Doo-Yull",Doo-Yull Choi,"['Choi, Doo-Yull']"
"Ryu, Doojin",Doojin Ryu,"['Ryu, Doojin']"
"Cho, Dooyeon",Dooyeon Cho,"['Cho, Dooyeon']"
Dora Gicheva,Dora Gicheva,"['Dora Gicheva', 'Gicheva, Dora']"
"Costa, Dora L.",Dora L. Costa,"['Costa, Dora L.', 'Dora L. Costa', 'Costa, Dora L']"
"Marinova, Dora",Dora Marinova,"['Marinova, Dora']"
"Noel, Dorian M.",Dorian M. Noel,"['Noel, Dorian M.']"
"Ruffino, Doriana",Doriana Ruffino,"['Ruffino, Doriana', 'Doriana Ruffino']"
Doris M. Iklé,Doris M. Iklé,['Doris M. Iklé']
"Neuberger, Doris",Doris Neuberger,"['Neuberger, Doris']"
Doris Weichselbaumer,Doris Weichselbaumer,['Doris Weichselbaumer']
"Evans, Dorla A",Dorla A Evans,"['Evans, Dorla A']"
Dorly J.H. Deeg,Dorly J.H. Deeg,['Dorly J.H. Deeg']
"Avramov, Doron",Doron Avramov,"['Avramov, Doron', 'Doron Avramov']"
Doron Kliger,Doron Kliger,"['Doron Kliger', 'Kliger, Doron']"
"Levit, Doron",Doron Levit,"['Levit, Doron', 'Doron Levit']"
"Nissim, Doron",Doron Nissim,"['Nissim, Doron', 'Doron Nissim']"
Doron Sonsino,Doron Sonsino,['Doron Sonsino']
Dorothe Bonjour,Dorothe Bonjour,['Dorothe Bonjour']
Dorothea Blomeyer,Dorothea Blomeyer,['Dorothea Blomeyer']
"Herreiner, Dorothea",Dorothea Herreiner,"['Herreiner, Dorothea']"
"Kübler, Dorothea",Dorothea Kübler,"['Kübler, Dorothea', 'Dorothea Kübler']"
Dorothee Crayen,Dorothee Crayen,['Dorothee Crayen']
"Bower, Dorothy H",Dorothy H Bower,"['Bower, Dorothy H', 'Bower, Dorothy H']"
Dorothy Hahn,Dorothy Hahn,['Dorothy Hahn']
Dorothy Hodges,Dorothy Hodges,['Dorothy Hodges']
"Hodges, Dorothy J",Dorothy J Hodges,"['Hodges, Dorothy J']"
Dorothy J. Orchard,Dorothy J. Orchard,['Dorothy J. Orchard']
"Rice, Dorothy P",Dorothy P Rice,"['Rice, Dorothy P']"
Dorothy W. Douglas,Dorothy W. Douglas,['Dorothy W. Douglas']
"Rouzet, Dorothée",Dorothée Rouzet,"['Rouzet, Dorothée']"
"Madani, Dorsati",Dorsati Madani,"['Madani, Dorsati']"
"Farr, Dorsey D.",Dorsey D. Farr,"['Farr, Dorsey D.']"
Dorsey Richardson,Dorsey Richardson,['Dorsey Richardson']
"Choi, Dosoung",Dosoung  Choi,"['Choi, Dosoung', 'Dosoung Choi', 'Choi, Dosoung']"
Dotan Leshem,Dotan Leshem,['Dotan Leshem']
Dou-Yan Yang,Dou-Yan Yang,['Dou-Yan Yang']
"Eckel, Doug",Doug Eckel,"['Eckel, Doug']"
"May, Doug",Doug May,"['May, Doug']"
"Nelson, Doug",Doug Nelson,"['Nelson, Doug']"
Doug Smith,Doug Smith,['Doug Smith']
"Waldo, Doug",Doug Waldo,"['Waldo, Doug']"
"Wissoker, Doug",Doug Wissoker,"['Wissoker, Doug']"
"Hibbs, Douglas A, Jr",Douglas A Hibbs,"['Hibbs, Douglas A, Jr']"
"Auld, Douglas A L",Douglas A L Auld,"['Auld, Douglas A L']"
"Wissoker, Douglas A",Douglas A Wissoker,"['Wissoker, Douglas A']"
"Wolf, Douglas A",Douglas A Wolf,"['Wolf, Douglas A']"
Douglas A. Greenley,Douglas A. Greenley,['Douglas A. Greenley']
Douglas A. Hayes,Douglas A. Hayes,['Douglas A. Hayes']
"Irwin, Douglas A.",Douglas A. Irwin,"['Irwin, Douglas A.', 'Douglas A. Irwin', 'Irwin, Douglas A']"
"McManus, Douglas A.",Douglas A. McManus,"['McManus, Douglas A.']"
"Shackelford, Douglas A.",Douglas A. Shackelford,"['Shackelford, Douglas A.', 'Douglas A. Shackelford']"
Douglas Almond,Douglas Almond,['Douglas Almond']
"Blair, Douglas",Douglas Blair,"['Blair, Douglas']"
"Brown, Douglas",Douglas Brown,"['Brown, Douglas']"
"Dacy, Douglas C",Douglas C Dacy,"['Dacy, Douglas C']"
"McIntosh, Douglas C",Douglas C McIntosh,"['McIntosh, Douglas C']"
Douglas Cumming,Douglas Cumming,"['Douglas Cumming', 'Cumming, Douglas']"
"Davis, Douglas D",Douglas D Davis,"['Davis, Douglas D']"
"Evanoff, Douglas D.",Douglas D. Evanoff,"['Evanoff, Douglas D.', 'Douglas D. Evanoff']"
"Purvis, Douglas D.",Douglas D. Purvis,"['Purvis, Douglas D.', 'Purvis, Douglas D']"
"Davis, Douglas",Douglas Davis,"['Davis, Douglas']"
Douglas Dosser,Douglas Dosser,['Douglas Dosser']
"Dyer, Douglas",Douglas Dyer,"['Dyer, Douglas']"
"Easterling, Douglas",Douglas Easterling,"['Easterling, Douglas']"
"Greer, Douglas F",Douglas F Greer,"['Greer, Douglas F']"
Douglas F. Dowd,Douglas F. Dowd,['Douglas F. Dowd']
"Fisher, Douglas",Douglas Fisher,"['Fisher, Douglas', 'Douglas Fisher']"
"Waldo, Douglas G",Douglas G Waldo,"['Waldo, Douglas G', 'Waldo, Douglas G.']"
Douglas G. Hartle,Douglas G. Hartle,['Douglas G. Hartle']
Douglas G. Steigerwald,Douglas G. Steigerwald,"['Douglas G. Steigerwald', 'Steigerwald, Douglas G.']"
"Gale, Douglas",Douglas Gale,"['Gale, Douglas', 'Douglas Gale']"
"Franklin Allen, Douglas Gale",Douglas Gale Franklin Allen,"['Franklin Allen, Douglas Gale']"
"Gegax, Douglas",Douglas Gegax,"['Gegax, Douglas']"
Douglas Gollin,Douglas Gollin,"['Douglas Gollin', 'Gollin, Douglas']"
"Joines, Douglas H",Douglas H Joines,"['Joines, Douglas H', 'Joines, Douglas H.', 'Douglas H. Joines']"
Douglas H. Bellemore,Douglas H. Bellemore,['Douglas H. Bellemore']
"Blair, Douglas H.",Douglas H. Blair,"['Blair, Douglas H.', 'Douglas H. Blair', 'Blair, Douglas H']"
Douglas H. Eldridge,Douglas H. Eldridge,['Douglas H. Eldridge']
"Graham, Douglas H.",Douglas H. Graham,"['Graham, Douglas H.']"
"Jones, Douglas H.",Douglas H. Jones,"['Jones, Douglas H.']"
Douglas Hanley,Douglas Hanley,['Douglas Hanley']
"Hearth, Douglas",Douglas Hearth,"['Hearth, Douglas']"
Douglas Hellweg,Douglas Hellweg,['Douglas Hellweg']
Douglas Holtz-Eakin,Douglas Holtz-Eakin,"['Douglas Holtz-Eakin', 'Holtz-Eakin, Douglas']"
"Hyatt, Douglas",Douglas Hyatt,"['Hyatt, Douglas']"
"Lamdin, Douglas J",Douglas J Lamdin,"['Lamdin, Douglas J']"
"Skinner, Douglas J",Douglas J Skinner,"['Skinner, Douglas J', 'Skinner, Douglas J.']"
"Young, Douglas J",Douglas J Young,"['Young, Douglas J']"
"YoungDay, Douglas J",Douglas J YoungDay,"['YoungDay, Douglas J']"
"Cumming, Douglas J.",Douglas J. Cumming,"['Cumming, Douglas J.']"
"Hodgson, Douglas J.",Douglas J. Hodgson,"['Hodgson, Douglas J.']"
"Joines, Douglas",Douglas Joines,"['Joines, Douglas']"
"Hibbs, Douglas Jr.",Douglas Jr. Hibbs,"['Hibbs, Douglas Jr.']"
"Pearce, Douglas K",Douglas K  Pearce,"['Pearce, Douglas K', 'Pearce, Douglas K', 'Pearce, Douglas K.']"
"Adie, Douglas K",Douglas K Adie,"['Adie, Douglas K']"
"Kruse, Douglas L",Douglas L Kruse,"['Kruse, Douglas L']"
Douglas L. Miller,Douglas L. Miller,"['Douglas L. Miller', 'Miller, Douglas J.']"
Douglas Laxton,Douglas Laxton,"['Douglas Laxton', 'Laxton, Douglas']"
Douglas Lichtman,Douglas Lichtman,['Douglas Lichtman']
"Brown, Douglas M",Douglas M Brown,"['Brown, Douglas M']"
"Gale, Douglas M",Douglas M Gale,"['Gale, Douglas M', 'Douglas M. Gale']"
"Windham, Douglas M",Douglas M Windham,"['Windham, Douglas M']"
Douglas M. Larson,Douglas M. Larson,['Douglas M. Larson']
"Patterson, Douglas M.",Douglas M. Patterson,"['Patterson, Douglas M.', 'Patterson, Douglas M']"
"Mair, Douglas",Douglas Mair,"['Mair, Douglas']"
"Marcouiller, Douglas",Douglas Marcouiller,"['Marcouiller, Douglas', 'Douglas Marcouiller']"
"McManus, Douglas",Douglas McManus,"['McManus, Douglas']"
"Harris, Douglas N.",Douglas N. Harris,"['Harris, Douglas N.']"
"Needham, Douglas",Douglas Needham,"['Needham, Douglas']"
"Nelson, Douglas",Douglas Nelson,"['Nelson, Douglas', 'Douglas Nelson']"
"Cook, Douglas O",Douglas O  Cook,"['Cook, Douglas O', 'Cook, Douglas O.', 'Douglas O. Cook']"
"Stewart, Douglas O",Douglas O Stewart,"['Stewart, Douglas O', 'Stewart, Douglas B']"
"Staiger, Douglas O.",Douglas O. Staiger,"['Staiger, Douglas O.', 'Douglas O. Staiger']"
Douglas Oxley,Douglas Oxley,['Douglas Oxley']
"Bohi, Douglas R",Douglas R Bohi,"['Bohi, Douglas R']"
"Emery, Douglas R",Douglas R Emery,"['Emery, Douglas R', 'Emery, Douglas R.']"
"Shaller, Douglas R",Douglas R Shaller,"['Shaller, Douglas R']"
"Nelson, Douglas R.",Douglas R. Nelson,"['Nelson, Douglas R.', 'Nelson, Douglas R']"
"Rice, Douglas",Douglas Rice,"['Rice, Douglas']"
Douglas Rimmer,Douglas Rimmer,['Douglas Rimmer']
Douglas Rivers,Douglas Rivers,"['Douglas Rivers', 'Rivers, Douglas']"
"West, Douglas S",Douglas S West,"['West, Douglas S']"
"Bridges, Douglas S.",Douglas S. Bridges,"['Bridges, Douglas S.']"
"Massey, Douglas S.",Douglas S. Massey,"['Massey, Douglas S.']"
"Smith, Douglas",Douglas Smith,"['Smith, Douglas']"
Douglas Staiger,Douglas Staiger,['Douglas Staiger']
Douglas Stone,Douglas Stone,['Douglas Stone']
"Breeden, Douglas T.",Douglas T. Breeden,"['Breeden, Douglas T.', 'Breeden, Douglas T']"
"DeJong, Douglas V",Douglas V  DeJong,"['DeJong, Douglas V', 'Douglas V. DeJong']"
Douglas V. Austin,Douglas V. Austin,['Douglas V. Austin']
Douglas Vickers,Douglas Vickers,"['Douglas Vickers', 'Vickers, Douglas']"
Douglas Victor Austin,Douglas Victor Austin,['Douglas Victor Austin']
"Allen, Douglas W",Douglas W Allen,"['Allen, Douglas W']"
"Caves, Douglas W",Douglas W Caves,"['Caves, Douglas W', 'Caves, Douglas W, et al', 'Douglas W. Caves', 'Caves, Douglas W.']"
"Elmendorf, Douglas W",Douglas W Elmendorf,"['Elmendorf, Douglas W', 'Douglas W. Elmendorf', 'Elmendorf, Douglas W.']"
"Webbink, Douglas W",Douglas W Webbink,"['Webbink, Douglas W']"
Douglas W. Diamond,Douglas W. Diamond,"['Douglas W. Diamond', 'Diamond, Douglas W.', 'Diamond, Douglas W', 'Diamond, Douglas W']"
"Dwyer, Douglas W.",Douglas W. Dwyer,"['Dwyer, Douglas W.']"
"Mitchell, Douglas W.",Douglas W. Mitchell,"['Mitchell, Douglas W.', 'Mitchell, Douglas W', 'Mitchell, Douglas W']"
"Nychka, Douglas W.",Douglas W. Nychka,"['Nychka, Douglas W.', 'Nychka, Douglas W']"
Douglas W. Rae,Douglas W. Rae,['Douglas W. Rae']
Douglas Waldo,Douglas Waldo,"['Douglas Waldo', 'Waldo, Douglas']"
Douglas Welland,Douglas Welland,['Douglas Welland']
"Willson, Douglas",Douglas Willson,"['Willson, Douglas']"
"Wolf, Douglas",Douglas Wolf,"['Wolf, Douglas']"
"Wood, Douglas",Douglas Wood,"['Wood, Douglas']"
Douglas Woodward,Douglas Woodward,['Douglas Woodward']
"North, Douglass C.",Douglass C. North,"['North, Douglass C.', 'Douglass C. North', 'North, Douglass C']"
"North, Douglass",Douglass North,"['North, Douglass']"
Douglass V. Brown,Douglass V. Brown,['Douglass V. Brown']
Dov Fried,Dov Fried,['Dov Fried']
"Monderer, Dov",Dov Monderer,"['Monderer, Dov', 'Dov Monderer']"
"Pekelman, Dov",Dov Pekelman,"['Pekelman, Dov']"
"Samet, Dov",Dov Samet,"['Samet, Dov', 'Dov Samet']"
Dow James,Dow James,['Dow James']
Dr. Adolf Wagner,Dr. Adolf Wagner,['Dr. Adolf Wagner']
Dr. J. R. Hicks,Dr. J. R. Hicks,['Dr. J. R. Hicks']
"Miljkovic, Dragan",Dragan Miljkovic,"['Miljkovic, Dragan']"
Dragana Cvijanovi?,Dragana Cvijanovi?,['Dragana Cvijanovi?']
Dragon Yongjun Tang,Dragon Yongjun Tang,"['Dragon Yongjun Tang', 'Tang, Dragon Yongjun']"
"Prelec, Drazen",Drazen Prelec,"['Prelec, Drazen', 'Drazen Prelec']"
"Winters, Drew B.",Drew B. Winters,"['Winters, Drew B.']"
Drew Creal,Drew Creal,"['Drew Creal', 'Creal, Drew']"
"Creal, Drew D.",Drew D. Creal,"['Creal, Drew D.']"
"Dahl, Drew",Drew Dahl,"['Dahl, Drew']"
Drew Fudenberg,Drew Fudenberg,"['Drew Fudenberg', 'Fudenberg, Drew']"
Dror Brenner,Dror Brenner,['Dror Brenner']
"Goldberg, Dror",Dror Goldberg,"['Goldberg, Dror']"
"Kenett, Dror Y.",Dror Y. Kenett,"['Kenett, Dror Y.']"
"Zuckerman, Dror",Dror Zuckerman,"['Zuckerman, Dror']"
Drucilla Ekwurzel,Drucilla Ekwurzel,"['Drucilla Ekwurzel', 'Ekwurzel, Drucilla']"
"Brown, Drusilla",Drusilla Brown,"['Brown, Drusilla']"
"Brown, Drusilla K.",Drusilla K. Brown,"['Brown, Drusilla K.', 'Brown, Drusilla K', 'Drusilla K. Brown']"
"Du, Du",Du Du,"['Du, Du']"
"Jin-Chuan, Duan",Duan Jin-Chuan,"['Jin-Chuan, Duan']"
"Li, Duan",Duan Li,"['Li, Duan']"
"Stock, Duane",Duane  Stock,"['Stock, Duane', 'Stock, Duane']"
"Graddy, Duane B",Duane B  Graddy,"['Graddy, Duane B', 'Graddy, Duane B']"
"Leigh, Duane E",Duane E Leigh,"['Leigh, Duane E']"
"Harris, Duane G",Duane G Harris,"['Harris, Duane G']"
"Seppi, Duane J.",Duane J. Seppi,"['Seppi, Duane J.', 'Seppi, Duane J', 'Duane J. Seppi', 'Seppi, Duane J']"
"Stock, Duane R.",Duane R. Stock,"['Stock, Duane R.']"
"Rockerbie, Duane W.",Duane W. Rockerbie,"['Rockerbie, Duane W.']"
Duangkamon Chotikapanich,Duangkamon Chotikapanich,['Duangkamon Chotikapanich']
"Brito, Duarte",Duarte Brito,"['Brito, Duarte']"
"Nguyen, Duc Khuong",Duc Khuong Nguyen,"['Nguyen, Duc Khuong']"
"Nguyen, Duc-Tho",Duc-Tho Nguyen,"['Nguyen, Duc-Tho']"
"Jackson, Dudley A S",Dudley A S Jackson,"['Jackson, Dudley A S']"
"Luckett, Dudley G",Dudley G Luckett,"['Luckett, Dudley G', 'Luckett, Dudley G', 'Dudley G. Luckett']"
"Gilder, Dudley",Dudley Gilder,"['Gilder, Dudley']"
"Jackson, Dudley",Dudley Jackson,"['Jackson, Dudley']"
Dudley Seers,Dudley Seers,"['Dudley Seers', 'Seers, Dudley']"
"Blair, Dudley W",Dudley W Blair,"['Blair, Dudley W']"
Dudley W. Johnson,Dudley W. Johnson,['Dudley W. Johnson']
"Kao, Duen-Li",Duen-Li Kao,"['Kao, Duen-Li']"
Duffie Darrell,Duffie Darrell,['Duffie Darrell']
Duffy John,Duffy John,['Duffy John']
Duha T. Altindag,Duha T. Altindag,['Duha T. Altindag']
"Kim, Duk-Choong",Duk-Choong Kim,"['Kim, Duk-Choong']"
"Kim, Dukpa",Dukpa Kim,"['Kim, Dukpa']"
"Seneviratne, Dulani",Dulani Seneviratne,"['Seneviratne, Dulani']"
"Bailey, Duncan",Duncan Bailey,"['Bailey, Duncan']"
Duncan Black,Duncan Black,"['Duncan Black', 'Black, Duncan']"
"Fong, Duncan",Duncan Fong,"['Fong, Duncan']"
Duncan I. Simester,Duncan I. Simester,['Duncan I. Simester']
Duncan James,Duncan James,['Duncan James']
Duncan K. Foley,Duncan K. Foley,"['Duncan K. Foley', 'Foley, Duncan K.', 'Foley, Duncan K']"
"Ripley, Duncan M",Duncan M Ripley,"['Ripley, Duncan M']"
"Holthausen, Duncan M.",Duncan M. Holthausen,"['Holthausen, Duncan M.', 'Duncan McC. Holthausen', 'Holthausen, Duncan M']"
"Maclennan, Duncan",Duncan Maclennan,"['Maclennan, Duncan']"
"Mann, Duncan P",Duncan P Mann,"['Mann, Duncan P']"
Duncan Sheppard Gilchrist,Duncan Sheppard Gilchrist,['Duncan Sheppard Gilchrist']
Duncan Simester,Duncan Simester,"['Duncan Simester', 'Simester, Duncan']"
Duncan Thomas,Duncan Thomas,"['Duncan Thomas', 'Thomas, Duncan']"
"Qin, Duo",Duo Qin,"['Qin, Duo']"
"Li, Duozhe",Duozhe Li,"['Li, Duozhe']"
"Bell, Duran",Duran Bell,"['Bell, Duran']"
"C. Bora, Durdu",Durdu C. Bora,"['C. Bora, Durdu']"
"Brewer, Durward",Durward Brewer,"['Brewer, Durward']"
"Stojanovic, Dusan",Dusan Stojanovic,"['Stojanovic, Dusan']"
Dusansky Richard,Dusansky Richard,['Dusansky Richard']
"Chambers, Dustin",Dustin Chambers,"['Chambers, Dustin']"
Dutta Bhaskar,Dutta Bhaskar,['Dutta Bhaskar']
Dutta Prajit K.,Dutta Prajit K.,['Dutta Prajit K.']
"Isakov, Dušan",Dušan Isakov,"['Isakov, Dušan', 'Isakov, Dusan']"
Dwayne Benjamin,Dwayne Benjamin,"['Dwayne Benjamin', 'Benjamin, Dwayne']"
"Wrightsman, Dwayne",Dwayne Wrightsman,"['Wrightsman, Dwayne']"
Dwight A. Pomeroy,Dwight A. Pomeroy,['Dwight A. Pomeroy']
Dwight B. Crane,Dwight B. Crane,['Dwight B. Crane']
"Anderson, Dwight C.",Dwight C. Anderson,"['Anderson, Dwight C.']"
Dwight E. Robinson,Dwight E. Robinson,['Dwight E. Robinson']
"Grant, Dwight",Dwight Grant,"['Grant, Dwight']"
"Perkins, Dwight H",Dwight H Perkins,"['Perkins, Dwight H', 'Dwight H. Perkins']"
"Perkins, Dwight Heald",Dwight Heald Perkins,"['Perkins, Dwight Heald']"
"Jaffee, Dwight",Dwight Jaffee,"['Jaffee, Dwight', 'Dwight Jaffee']"
Dwight M. Jaffee,Dwight M. Jaffee,"['Dwight M. Jaffee', 'Jaffee, Dwight M', 'Jaffee, Dwight M.']"
"Perkins, Dwight",Dwight Perkins,"['Perkins, Dwight']"
Dwight R. Lee,Dwight R. Lee,"['Dwight R. Lee', 'Lee, Dwight R']"
Dwight S. Brothers,Dwight S. Brothers,['Dwight S. Brothers']
Dylan C. Thomas,Dylan C. Thomas,"['Dylan C. Thomas', 'Thomas, Dylan C.']"
"Conger, Dylan",Dylan Conger,"['Conger, Dylan']"
Dylan Glover,Dylan Glover,['Dylan Glover']
"Supina, Dylan",Dylan Supina,"['Supina, Dylan']"
Déborah Marciano,Déborah Marciano,['Déborah Marciano']
Désiré Vencatachellum,Désiré Vencatachellum,['Désiré Vencatachellum']
"Rückert, Désirée",Désirée Rückert,"['Rückert, Désirée']"
"Dimson, E",E  Dimson,"['Dimson, E']"
"Schulman, E",E  Schulman,"['Schulman, E']"
"Selvanathan, E Anthony",E Anthony Selvanathan,"['Selvanathan, E Anthony']"
"Robinson, E Austin G",E Austin G Robinson,"['Robinson, E Austin G']"
"Berrebi, E",E Berrebi,"['Berrebi, E']"
"Veendorp, E C H",E C H Veendorp,"['Veendorp, E C H']"
"Smith, E Dan",E Dan Smith,"['Smith, E Dan']"
"Rutstrom, E E",E E Rutstrom,"['Rutstrom, E E']"
"Zajac, E E",E E Zajac,"['Zajac, E E']"
"Rutstrom, E Elisabet",E Elisabet Rutstrom,"['Rutstrom, E Elisabet']"
"Eshag, E",E Eshag,"['Eshag, E']"
"Carter, E Eugene",E Eugene Carter,"['Carter, E Eugene']"
"Brigham, E F",E F Brigham,"['Brigham, E F']"
"Davis, E G",E G Davis,"['Davis, E G']"
"Horsman, E G",E G Horsman,"['Horsman, E G']"
"West, E G",E G West,"['West, E G']"
"Wiens, E G",E G Wiens,"['Wiens, E G']"
"Winslow, E G",E G Winslow,"['Winslow, E G']"
"Phelps Brown, E H",E H Phelps Brown,"['Phelps Brown, E H']"
"Kim, E Han",E Han  Kim,"['Kim, E Han']"
"Hannan, E J",E J Hannan,"['Hannan, E J']"
"Mishan, E J",E J Mishan,"['Mishan, E J']"
"Jennings, E James",E James Jennings,"['Jennings, E James']"
"Choi, E Kwan",E Kwan Choi,"['Choi, E Kwan', 'Kwan Choi, E.', 'E. Kwan Choi']"
"Levin, E",E Levin,"['Levin, E']"
"Levy, E",E Levy,"['Levy, E']"
"Malinvaud, E",E Malinvaud,"['Malinvaud, E', 'E. Malinvaud', 'Malinvaud, E.']"
"Bailey, E Norman",E Norman Bailey,"['Bailey, E Norman']"
"Olson, E",E Olson,"['Olson, E']"
"Jones, E Philip",E Philip  Jones,"['Jones, E Philip']"
E Philip Davis,E Philip Davis,"['E Philip Davis', 'Davis, E. Philip']"
"Arzac, E R",E R  Arzac,"['Arzac, E R']"
"Canterbery, E Ray",E Ray Canterbery,"['Canterbery, E Ray', 'Canterbery, E. Ray']"
"Smolensky, E",E Smolensky,"['Smolensky, E']"
"Somanathan, E",E Somanathan,"['Somanathan, E', 'Somanathan, E.']"
"Strauss, E",E Strauss,"['Strauss, E']"
"Grether, E T",E T Grether,"['Grether, E T']"
